stop_id,name,district,ridership,dispatch_interval,dispatch_half,cai_normalized,lat,lon,pm25,pm10,o3,no2,so2,co,pm25_index,pm10_index,o3_index,no2_index,so2_index,co_index,cai,cai_grade,main_pollutant,priority_v1,priority_v2,pollution_exposure,priority_v4,ridership_log,cai_ridership,pollution_exposure_v2,total_exposure,is_high_traffic,is_high_pollution,is_long_wait
106000201,봉화산역2번출구(00011),중랑구,127643,13.4285714285714,6.71428571428571,0.5333,37.616705,127.093173,18.3905,31.7463,0.0325,0.017,0.0027,0.4051,58.5,51.7,52.0,28.3,6.8,10.1,58.5,보통,초미세먼지,0.30038230947189143,0.24319251182688484,0.005747304915423234,0.29331591422341263,11.757000418039665,7.4671155,392.78571428571405,50.1363469285714,0,0,1
106000202,봉화산역3번출구(00008),중랑구,965545,13.4285714285714,6.71428571428571,0.5333,37.61645874,127.0929081,18.3921,31.7448,0.0324,0.017,0.0027,0.405,58.5,51.7,52.0,28.3,6.8,10.1,58.5,보통,초미세먼지,0.37062007030513283,0.34854915307674683,0.043475016448707146,0.3776012272233023,13.780449023423705,56.4843825,392.78571428571405,379.25228249999975,1,0,1
106000203,중랑경찰서후문(00103),중랑구,27877,9.66666666666666,4.83333333333333,0.5333,37.619875,127.105557,18.4187,31.8104,0.0325,0.017,0.0027,0.4058,58.5,51.8,52.1,28.4,6.8,10.1,58.5,보통,초미세먼지,0.2606701436748151,0.21183854884555606,0.0009035666653729557,0.26447083907644486,10.235593126289832,1.6308045,282.74999999999983,7.882221749999995,0,0,0
106000204,새우개마을(00009),중랑구,23925,9.66666666666666,4.83333333333333,0.5407,37.61824411,127.1033559,18.4287,31.8008,0.0325,0.017,0.0027,0.4054,58.6,51.8,52.1,28.4,6.8,10.1,58.6,보통,초미세먼지,0.262808000126223,0.21356385204118636,0.0007862424271703984,0.2670362668181343,10.082721012730849,1.402005,283.2333333333332,6.776357499999996,0,0,0
106000205,신내능마을(00102),중랑구,6933,9.66666666666666,4.83333333333333,0.5481,37.61436191,127.1016593,18.4749,31.7977,0.0323,0.017,0.0027,0.4042,58.7,51.8,51.9,28.4,6.8,10.1,58.7,보통,초미세먼지,0.2638527688403233,0.21364952363085535,0.0002309588395931095,0.26828998927505476,8.844192126244968,0.4069671,283.7166666666665,1.9670076499999989,0,0,0
106000206,신내능마을(00010),중랑구,31778,9.0,4.5,0.5481,37.61455944,127.1014319,18.4709,31.7961,0.0323,0.017,0.0027,0.4042,58.7,51.8,52.0,28.4,6.8,10.1,58.7,보통,초미세먼지,0.2603798639621763,0.2134401663136347,0.000985611394400223,0.26745583675461154,10.366560973264606,1.8653686,264.15000000000003,8.394158700000002,0,0,0
106000207,신내교회.신내데시앙아파트(00087),중랑구,37329,12.5,6.25,0.5556,37.61054059,127.1013329,18.5359,31.8079,0.0322,0.017,0.0027,0.4024,58.8,51.8,51.8,28.4,6.8,10.1,58.8,보통,초미세먼지,0.29248098315138815,0.23386036361597112,0.0016297558851751568,0.28847717978166576,10.527552571908629,2.1949452,367.5,13.718407499999998,0,0,1
106000208,신내교회.신내데시앙아파트(00003),중랑구,503755,12.5,6.25,0.5556,37.61053825,127.1010153,18.5347,31.8064,0.0322,0.017,0.0027,0.4024,58.8,51.8,51.8,28.4,6.8,10.1,58.8,보통,초미세먼지,0.3315794908938275,0.29250812522963016,0.021993562001028987,0.33539538907259303,13.129847302842073,29.620794,367.5,185.1299625,1,0,1
106000209,신내초등학교(00004),중랑구,349000,13.6,6.8,0.5704,37.6061556,127.10075,18.6174,31.8256,0.0319,0.017,0.0027,0.3993,59.0,51.8,51.6,28.4,6.8,10.0,59.0,보통,초미세먼지,0.3327119757308444,0.28299388952219245,0.017020016871142348,0.33125437087701326,12.762830066509972,20.591,401.2,140.0188,1,0,1
106000210,신내새한아파트앞(00064),중랑구,70045,13.6,6.8,0.5778,37.60583816,127.1010485,18.6246,31.8285,0.0319,0.017,0.0027,0.3991,59.1,51.8,51.6,28.4,6.8,10.0,59.1,보통,초미세먼지,0.3117975003553514,0.2501406949774715,0.0034603145304080286,0.3061570004264217,11.156907448064818,4.1396595,401.88,28.149684599999997,0,0,1
106000211,능산지하차도(00063),중랑구,57793,13.6,6.8,0.5926,37.60094741,127.1006376,18.7324,31.8545,0.0316,0.017,0.0027,0.3941,59.3,51.9,51.3,28.3,6.8,9.9,59.3,보통,초미세먼지,0.3157087389114021,0.2530445898485847,0.002928256123347388,0.3108504866936826,10.964640243043856,3.4271249,403.23999999999995,23.30444932,0,0,1
106000212,능산지하차도(00005),중랑구,178003,13.6,6.8,0.5926,37.60108192,127.100349,18.7294,31.8529,0.0316,0.017,0.0027,0.3942,59.3,51.9,51.3,28.3,6.8,9.9,59.3,보통,초미세먼지,0.32578543192533926,0.2681596293694904,0.009019057233993825,0.32294251831040716,12.089561300931845,10.555577900000001,403.23999999999995,71.77792972,1,0,1
