NODE_ID,정류소명,자치구,노선목록,버스수,승차총승객수,avg_caralc,평균배차간격
108000124,혜화여고,강북구,"1115, 1165, 152",3,78144.0,37.333333333333336,18.666666666666668
108000125,서울정인학교,강북구,"1115, 1165, 152",3,88270.0,37.333333333333336,18.666666666666668
108000126,우광타운,강북구,"1115, 1165, 152",3,48282.0,37.333333333333336,18.666666666666668
108000127,구세군강북종합사회복지관입구,강북구,"1115, 1165, 152, 강북10",4,114045.0,35.0,17.5
108000128,구세군강북종합사회복지관입구,강북구,"1115, 1165, 152, 강북10",4,125241.0,35.0,17.5
108000129,솔샘중고등학교.팔팔·미송경로당,강북구,"1115, 1165, 152",3,97655.0,37.333333333333336,18.666666666666668
108000130,솔샘중고등학교.팔팔·미송경로당,강북구,"1115, 1165, 152",3,108955.0,37.333333333333336,18.666666666666668
108000131,동북프라자,강북구,"1112, 1116, 1165, 152, 강북08",5,236452.0,38.0,19.0
108000132,동북프라자,강북구,"1112, 1116, 1165, 152, 강북12",5,441932.0,39.6,19.8
108000133,두산위브아파트입구,강북구,"1112, 1116, 1165, 152",4,224343.0,39.5,19.75
108000134,두산위브아파트입구,강북구,"1112, 1116, 1165, 152",4,127591.0,39.5,19.75
108000135,삼각산동SK아파트북한산시티미양초등학교,강북구,"1112, 1115, 1116, 1165, 152",5,292650.0,42.0,21.0
108000136,삼양동벽산라이브파크미양초등학교,강북구,"1112, 1115, 1116, 1165, 152",5,148443.0,42.0,21.0
108000137,SK아파트.벽산아파트상가,강북구,"1112, 1116, 1165",3,141613.0,43.333333333333336,21.666666666666668
108000138,SK아파트.벽산아파트상가,강북구,"1112, 1116, 1165",3,107817.0,54.0,27.0
108000139,솔샘터널,강북구,"1165, 강북10",2,95940.0,30.0,15.0
108000140,번동주공아파트3단지4단지,강북구,1124,1,66604.0,62.0,31.0
108000141,번동주공아파트3단지4단지,강북구,"1124, 강북05",2,11240.0,51.0,25.5
108000142,번동초등학교,강북구,1124,1,13648.0,62.0,31.0
108000143,번동한솔솔파크,강북구,"1124, 강북05",2,19273.0,51.0,25.5
108000144,번동한솔솔파크,강북구,"1124, 강북05",2,91305.0,51.0,25.5
108000145,번동해모로아파트,강북구,1124,1,15466.0,62.0,31.0
108000146,번동해모로아파트,강북구,"1124, 강북05",2,124906.0,51.0,25.5
108000147,강북문화정보도서관,강북구,1124,1,12806.0,62.0,31.0
108000148,강북문화정보도서관,강북구,"1124, 강북05",2,139484.0,51.0,25.5
108000149,동문굿모닝힐,강북구,1124,1,8970.0,62.0,31.0
108000150,동문굿모닝힐,강북구,1124,1,14425.0,62.0,31.0
108000151,북서울꿈의숲서문,강북구,"1124, 강북05",2,52860.0,51.0,25.5
108000152,꿈의숲롯데캐슬아파트,강북구,"1124, 강북05",2,36482.0,51.0,25.5
108000153,꿈의숲롯데캐슬아파트,강북구,"1124, 강북05",2,115596.0,51.0,25.5
108000154,경남아너스빌.꿈의숲해링턴아파트,강북구,"1124, 강북05",2,47329.0,51.0,25.5
