NODE_ID,avg_headway_min,표준버스정류장ID,역명,자치구,승차총승객수,wait_exposure
100000151,0.6796116504854368,100000151,광장시장(00026),종로구,256087.0,174039.70873786407
100000153,0.9333333333333333,100000153,서울특별시재향군인회관(00016),종로구,71256.0,66505.6
100000154,2.380952380952381,100000154,서울역사박물관(00032),종로구,45381.0,108050.0
100000155,2.75,100000155,청계3가.관수교(00032),종로구,7449.0,20484.75
100000156,2.75,100000156,청계6가.버들다리(00028),종로구,51933.0,142815.75
100000157,2.75,100000157,청계7가.맑은내다리(00027),종로구,50382.0,138550.5
100000158,2.75,100000158,청계8가.영도교(00026),종로구,51739.0,142282.25
100000159,0.6203036741462404,100000159,원남동사거리(00025),종로구,85486.0,53027.27988806551
100000165,0.5210918114143921,100000165,숭인2동주민센터(00029),종로구,242160.0,126187.5930521092
100000169,1.25,100000169,조계사(00031),종로구,39519.0,49398.75
100000174,1.0,100000174,세종문화회관(00032),종로구,167413.0,167413.0
100000179,0.9433962264150942,100000179,이화동(이화장)(00033),종로구,32177.0,30355.660377358487
100000180,1.0566298342541436,100000180,상명대정문(00001),종로구,497096.0,525246.4640883978
100000181,1.3636363636363635,100000181,이북오도청(00030),종로구,91807.0,125191.36363636363
100000188,0.995575221238938,100000188,상명대입구.세검정교회(00038),종로구,30080.0,29946.902654867255
100000189,0.5838247683235046,100000189,상명대입구.석파랑(00010),종로구,214701.0,125347.76158382476
100000190,0.38169200264375414,100000190,종로중부새마을금고(00038),종로구,199479.0,76139.53899537343
100000191,1.3095238095238095,100000191,신설동역오거리.서울풍물시장(00024),종로구,203011.0,265847.7380952381
100000192,2.75,100000192,청계2가.삼일교(00034),종로구,18225.0,50118.75
100000193,2.75,100000193,청계8가.황학교(00025),종로구,67821.0,186507.75
100000329,3.9170506912442393,,,,,
100000330,0.7756373117033605,100000330,종로1가(00028),종로구,304009.0,235800.72349362692
100000333,4.25,,,,,
100000334,4.25,,,,,
100000335,4.25,,,,,
100000336,4.25,,,,,
100000338,4.25,,,,,
100000343,6.25,,,,,
100000344,6.25,,,,,
100000345,6.25,,,,,
100000346,6.25,,,,,
100000347,6.25,,,,,
100000348,6.25,,,,,
100000355,0.41501976284584985,100000355,평창동삼성아파트(00039),종로구,51254.0,21271.422924901188
100000360,6.25,,,,,
100000362,0.22971732325898733,100000362,영천시장(00048),종로구,1007864.0,231523.820289096
100000363,0.17231942539533862,100000363,영천시장(00019),종로구,927062.0,159750.7911458534
100000364,2.0,100000364,동묘앞역2번출구(00019),종로구,70371.0,140742.0
100000365,0.10823596598187965,100000365,동대문역.흥인지문(00037),종로구,1189634.0,128761.18515488741
100000366,0.13468556220161335,100000366,동묘앞.서울혜화경찰서(00070),종로구,947290.0,127586.2862179663
100000367,0.10702342960082196,100000367,동묘앞.서울혜화경찰서(00036),종로구,1207771.0,129259.79459241434
100000368,0.4988913525498892,100000368,서대문역사거리.적십자병원(00037),종로구,592672.0,295678.9356984479
100000369,0.5348047538200339,100000369,안국역.서울공예박물관(00017),종로구,285349.0,152606.00169779285
100000370,1.8387096774193552,100000370,안국역5번출구(00031),종로구,67568.0,124237.935483871
100000371,6.25,,,,,
100000376,2.5,100000376,강북삼성병원.경교장(00042),종로구,23439.0,58597.5
100000379,0.16843860090588827,100000379,서울역사박물관.경희궁앞(00033),종로구,857299.0,144402.24411801712
100000380,0.10968376562494399,100000380,서울역사박물관.경희궁앞(00039),종로구,1227033.0,134585.5999860719
100000384,0.13014417325336738,100000384,광화문역(00023),종로구,1365879.0,177761.19321913618
100000385,0.13687320761275745,100000385,광화문역(00032),종로구,1246929.0,170671.17189536802
100000386,0.12326269801444624,100000386,종로1가(00024),종로구,1559242.0,192196.3757774412
100000387,0.13090093085106383,100000387,종로1가(00031),종로구,1311793.0,171714.92478390958
100000388,0.09922273815163773,100000388,종로2가(00025),종로구,1600318.0,158787.9338733526
100000389,0.10032883838049168,100000389,종로2가(00030),종로구,1963820.0,197027.77938837718
100000390,0.10816284224458231,100000390,종로3가.탑골공원(00065),종로구,1747196.0,188981.68531836523
100000391,0.11102199816681943,100000391,종로3가.탑골공원(00029),종로구,1261299.0,140031.9352658112
100000392,0.10816284224458231,100000392,종로4가.종묘(00066),종로구,715079.0,77344.97706941367
100000393,0.12234076131557352,100000393,종로4가.종묘(00028),종로구,498837.0,61028.09835237675
100000394,0.1043988179523487,100000394,종로5가.광장시장(00061),종로구,1312748.0,137049.33946930987
100000395,0.16875443157645945,100000395,종로5가.광장시장(00035),종로구,877206.0,148032.3999054597
100000396,0.16875443157645945,100000396,종로6가.동대문종합시장(00068),종로구,1104873.0,186452.2150791775
100000397,0.15391248113817632,100000397,종로6가.동대문종합시장(00023),종로구,799738.0,123089.65984048285
100000398,0.10326825939906832,100000398,동대문역.흥인지문(00028),종로구,2110014.0,217897.47308766574
100000399,10.0,,,,,
100000413,2.0,100000413,남인사마당(00022),종로구,65575.0,131150.0
100000414,0.6676334430252663,100000414,창덕궁.서울돈화문국악당(00024),종로구,52093.0,34779.028947515195
100000415,2.0,100000415,영추문(00017),종로구,55307.0,110614.0
100000416,2.0,100000416,청와대(00018),종로구,91002.0,182004.0
100000417,2.0,100000417,춘추문(00019),종로구,79623.0,159246.0
100000418,2.0,100000418,경복궁.국립민속박물관(00020),종로구,130603.0,261206.0
100000421,4.5,100000421,유림회관앞(00004),종로구,3063.0,13783.5
100900002,3.75,100900002,경진빌라(00029),종로구,1244.0,4665.0
100900003,1.26,100900003,혜화초등학교(00008),종로구,92691.0,116790.66
100900004,1.75,100900004,명륜시장.성대후문(00029),종로구,6985.0,12223.75
100900005,2.5,100900005,오거리.한옥마을입구(00004),종로구,24510.0,61275.0
100900006,3.75,100900006,완성빌라(00030),종로구,3813.0,14298.75
100900007,2.5,100900007,삼청파출소(00004),종로구,80980.0,202450.0
100900008,1.75,100900008,양현관(00030),종로구,1184.0,2072.0
100900009,2.25,100900009,종로5가입구(00004),종로구,18270.0,41107.5
100900010,3.75,100900010,상명대후문(00031),종로구,11811.0,44291.25
100900011,3.75,100900011,원서고개(00017),종로구,22618.0,84817.5
100900012,1.75,100900012,샘미용실.종로구청소년상담복지센터(00031),종로구,340.0,595.0
100900013,2.25,100900013,창신쌍용2단지.한성대후문(00003),종로구,193658.0,435730.5
100900014,3.75,100900014,산정빌라(00032),종로구,409.0,1533.75
100900015,2.75,100900015,경희궁자이2.3단지(00003),종로구,18121.0,49832.75
100900016,10.0,100900016,오거리(00003),종로구,316.0,3160.0
