stop_id,name,district,ridership,dispatch_interval,dispatch_half,cai_normalized,lat,lon,pm25,pm10,o3,no2,so2,co,pm25_index,pm10_index,o3_index,no2_index,so2_index,co_index,cai,cai_grade,main_pollutant,priority_v1,priority_v2,pollution_exposure,priority_v4
102000170,이촌역(00079),용산구,124351,11.5,5.75,0.5852,37.522364,126.974028,18.6795,32.5981,0.032,0.0182,0.0027,0.3969,59.2,52.6,51.7,30.3,6.7,9.9,59.2,보통,초미세먼지,0.3013188771595248,0.24869127870225013,0.00526113128843405,0.3040826525914298
102000171,국립중앙박물관용산가족공원(00080),용산구,86959,11.5,5.75,0.5852,37.52089801,126.9786512,18.6943,32.8576,0.0319,0.0181,0.0027,0.3962,59.2,52.9,51.6,30.1,6.6,9.9,59.2,보통,초미세먼지,0.2981844648379448,0.24398966021988006,0.0036791237361254556,0.30032135780553376
102000172,국립중앙박물관용산가족공원(00030),용산구,117189,11.5,5.75,0.5852,37.52087549,126.9799562,18.6983,32.9122,0.0319,0.0181,0.0027,0.3964,59.2,52.9,51.6,30.1,6.6,9.9,59.2,보통,초미세먼지,0.30071851716147296,0.2477907387051723,0.00495811625608397,0.30336222059376755
102000173,서빙고역교차로(00056),용산구,169914,11.0,5.5,0.5926,37.520427,126.9899,18.7219,33.2568,0.0315,0.0181,0.0027,0.3975,59.3,53.3,51.3,30.1,6.6,9.9,59.3,보통,초미세먼지,0.3034406987934057,0.25414252967159,0.00696332654316843,0.30912883855208684
102000174,서빙고초등학교(00068),용산구,27908,15.0,7.5,0.5926,37.52117112,126.9908894,18.7123,33.1846,0.0314,0.0182,0.0027,0.3992,59.3,53.2,51.1,30.3,6.7,10.0,59.3,보통,초미세먼지,0.32487027313716116,0.2562868911872232,0.0015596059597535266,0.31484432776459337
102000175,한강중학교(00020),용산구,37463,12.5,6.25,0.5852,37.525117,126.991363,18.6789,32.8703,0.0306,0.0187,0.0027,0.407,59.2,52.9,50.5,31.2,6.8,10.2,59.2,보통,초미세먼지,0.30236875901132615,0.24276610147995203,0.0017228385556820125,0.3003425108135913
102000176,금호베스트빌앞(00021),용산구,9982,12.5,6.25,0.5852,37.52263626,126.9907182,18.6971,33.0394,0.0311,0.0184,0.0027,0.402,59.2,53.0,50.9,30.6,6.7,10.1,59.2,보통,초미세먼지,0.3000651436655479,0.23931067846128465,0.00045904958126198776,0.2975781723986574
102000178,서빙고동(00024),용산구,68539,12.25,6.125,0.5926,37.519851,126.992986,18.7286,33.3591,0.0315,0.018,0.0027,0.3971,59.3,53.4,51.3,30.1,6.6,9.9,59.3,보통,초미세먼지,0.30535953038572017,0.24764577706006172,0.003128014554310473,0.3051814364628642
102000179,서빙고동주민센터(00028),용산구,101885,12.25,6.125,0.5926,37.520382,126.994885,18.7168,33.2881,0.0314,0.0182,0.0027,0.3988,59.3,53.3,51.1,30.3,6.6,10.0,59.3,보통,초미세먼지,0.30815478373604666,0.2518386570855515,0.00464987471171045,0.308535740483256
102000180,동빙고동(00025),용산구,180901,12.25,6.125,0.5926,37.520817,126.996692,18.7053,33.2215,0.0312,0.0183,0.0027,0.4002,59.3,53.2,51.0,30.4,6.7,10.0,59.3,보통,초미세먼지,0.3147783589393513,0.26177401989050847,0.008256043433509665,0.31648403072722164
102000181,동빙고동(00027),용산구,156952,12.25,6.125,0.5852,37.521265,126.997038,18.6984,33.1681,0.0311,0.0183,0.0027,0.4014,59.2,53.2,50.9,30.6,6.7,10.0,59.2,보통,초미세먼지,0.31030168032854044,0.2565404834557735,0.007073509805716979,0.3111120163942485
102000182,보광신동아아파트삼성리버빌아파트(00026),용산구,124658,12.25,6.125,0.5778,37.524738,127.0020297,18.6548,32.8667,0.0303,0.0189,0.0027,0.4098,59.1,52.9,50.2,31.5,6.8,10.2,59.1,보통,초미세먼지,0.30512547586130057,0.25025765823639523,0.005546969424027988,0.3049005710335607
102000183,보광동신동아아파트(00005),용산구,339877,12.5,6.25,0.5778,37.52562379,127.0015149,18.6548,32.8427,0.03,0.019,0.0027,0.4119,59.1,52.8,50.0,31.7,6.8,10.3,59.1,보통,초미세먼지,0.3252497025792652,0.27856899831334225,0.01543232346500319,0.3277996430951183
102000184,보광동주민센터(00025),용산구,264079,12.3333333333333,6.16666666666666,0.5778,37.52645912,127.0005046,18.6568,32.8311,0.0298,0.0192,0.0027,0.4139,59.1,52.8,49.7,31.9,6.8,10.3,59.1,보통,초미세먼지,0.31750698974003594,0.2682049290544984,0.011830793240899048,0.31934172102137653
102000185,보광동(00021),용산구,207907,12.3333333333333,6.16666666666666,0.5778,37.52800885,126.9993071,18.6592,32.8216,0.0294,0.0194,0.0027,0.4172,59.1,52.8,49.0,32.3,6.9,10.4,59.1,보통,초미세먼지,0.3127983298949409,0.26114193928685586,0.009314276145909363,0.3136913292072625
102000186,보광동(00024),용산구,125339,12.3333333333333,6.16666666666666,0.5778,37.52818201,126.9988968,18.6599,32.8216,0.0294,0.0194,0.0028,0.4175,59.1,52.8,48.9,32.3,6.9,10.4,59.1,보통,초미세먼지,0.30587700563926534,0.25075995290334246,0.005615212849264977,0.30538574010045183
102000187,한국폴리텍1대학(00023),용산구,186039,12.3333333333333,6.16666666666666,0.5852,37.530195,126.996792,18.6631,32.825,0.029,0.0196,0.0028,0.4203,59.2,52.8,48.4,32.6,6.9,10.5,59.2,보통,초미세먼지,0.31343436426800503,0.26061450936497055,0.00844143892817941,0.31445457045493946
102000188,한국폴리텍1대학(00022),용산구,233091,12.3333333333333,6.16666666666666,0.5852,37.530532,126.996572,18.6634,32.8265,0.029,0.0196,0.0028,0.4207,59.2,52.8,48.3,32.6,6.9,10.5,59.2,보통,초미세먼지,0.3173785333029586,0.2665307629174009,0.010576403018766316,0.31918757329688374
102000189,이태원역.보광동입구(00022),용산구,454103,12.3333333333333,6.16666666666666,0.5852,37.5334,126.994213,18.6657,32.8027,0.0289,0.0196,0.0028,0.4213,59.2,52.8,48.2,32.7,6.9,10.5,59.2,보통,초미세먼지,0.3359050292383739,0.29432050682052385,0.020604726651954994,0.3414193684193821
102000190,이태원역.보광동입구(00023),용산구,225048,12.3333333333333,6.16666666666666,0.5852,37.53382,126.994222,18.6659,32.8031,0.0289,0.0196,0.0028,0.4215,59.2,52.8,48.2,32.7,6.9,10.5,59.2,보통,초미세먼지,0.31670432282204114,0.2655194471960246,0.010211455382521514,0.31837852071978273
102000191,한남역.용산노인종합복지관(00003),용산구,216430,11.25,5.625,0.5778,37.53122393,127.0067957,18.6446,32.7644,0.0292,0.0195,0.0028,0.4187,59.1,52.8,48.7,32.4,6.9,10.5,59.1,보통,초미세먼지,0.30448499895650927,0.2567969428792083,0.008844423102409333,0.30913199874781117
102000192,한남역.용산노인종합복지관(00043),용산구,234389,10.6666666666666,5.33333333333333,0.5778,37.53066879,127.0077699,18.6365,32.732,0.0295,0.0194,0.0027,0.4168,59.1,52.7,49.1,32.3,6.9,10.4,59.1,보통,초미세먼지,0.301129314430851,0.25613841609072097,0.009081665007708569,0.3080218439836879
102000193,이촌119안전센터.성촌공원(00010),용산구,17388,11.0,5.5,0.5926,37.530082,126.952943,18.7116,31.9232,0.0326,0.0182,0.0027,0.397,59.3,51.9,52.1,30.4,6.8,9.9,59.3,보통,초미세먼지,0.2906550929482699,0.2349641209038863,0.0007125859077687104,0.2937861115379239
102000194,성촌공원.포르쉐센터용산(00009),용산구,11326,11.0,5.5,0.5926,37.53017103,126.9546065,18.7053,31.9335,0.0325,0.0182,0.0027,0.3973,59.3,51.9,52.1,30.4,6.8,9.9,59.3,보통,초미세먼지,0.2901469412716166,0.23420189338890646,0.0004641561991826785,0.29317632952593997
102000195,성촌공원.포르쉐센터용산(00021),용산구,86662,11.0,5.5,0.5926,37.52974742,126.9543511,18.706,31.9412,0.0325,0.0182,0.0027,0.3971,59.3,51.9,52.1,30.4,6.8,9.9,59.3,보통,초미세먼지,0.2964620377269695,0.24367453807193573,0.0035515366884662975,0.3007544452723634
102000196,이촌2동주민센터(00008),용산구,53840,11.0,5.5,0.5926,37.52773644,126.955064,18.7016,31.9909,0.0325,0.0182,0.0027,0.3966,59.3,52.0,52.1,30.4,6.7,9.9,59.3,보통,초미세먼지,0.29371070906792746,0.23954754508337267,0.002206442677379076,0.29745285088151296
102000197,이촌2동주민센터(00022),용산구,162940,11.0,5.5,0.5926,37.527703,126.954862,18.7023,31.9894,0.0325,0.0182,0.0027,0.3965,59.3,52.0,52.1,30.4,6.7,9.9,59.3,보통,초미세먼지,0.30285609803573826,0.2532656285350889,0.006677521728308815,0.30842731764288595
102000198,이촌2동대림아파트.새남터성지(00007),용산구,49423,11.0,5.5,0.5852,37.52617531,126.9563231,18.6947,32.0364,0.0325,0.0182,0.0027,0.3962,59.2,52.0,52.1,30.3,6.7,9.9,59.2,보통,초미세먼지,0.29087131494216956,0.2367699353762172,0.0020001096533906913,0.2940455779306035
102000199,이촌2동대림아파트.새남터성지(00023),용산구,191283,11.0,5.5,0.5852,37.52602927,126.9561659,18.695,32.037,0.0325,0.0182,0.0027,0.3961,59.2,52.0,52.1,30.3,6.7,9.9,59.2,보통,초미세먼지,0.3027628353727254,0.254607216022051,0.007741071461253497,0.30831540244727046
102000200,서부이촌동입구(00006),용산구,82405,11.0,5.5,0.5852,37.523863,126.959497,18.6803,32.131,0.0324,0.0182,0.0027,0.3957,59.2,52.1,52.0,30.3,6.7,9.9,59.2,보통,초미세먼지,0.2936360557206878,0.24091704654399448,0.003334865062575317,0.29736326686482534
102000201,이촌2동강변아파트(00024),용산구,202446,11.0,5.5,0.5852,37.52344621,126.959781,18.6785,32.1441,0.0324,0.0182,0.0027,0.3956,59.2,52.1,52.0,30.3,6.7,9.9,59.2,보통,초미세먼지,0.3036985821834282,0.2560108362381051,0.008192829227087223,0.3094382986201138
102000202,원효2동산호아파트후문(00011),용산구,3642,12.0,6.0,0.5926,37.53226,126.950016,18.7234,31.8619,0.0326,0.0182,0.0027,0.3972,59.3,51.9,52.2,30.4,6.8,9.9,59.3,보통,초미세먼지,0.2978361575671071,0.2382357178321421,0.0001628231304406577,0.29740338908052855
102000203,청암동강변삼성아파트(00061),용산구,96044,9.0,4.5,0.5926,37.53461443,126.9482435,18.7275,31.8066,0.0327,0.0182,0.0027,0.3975,59.3,51.8,52.3,30.4,6.8,9.9,59.3,보통,초미세먼지,0.2805818242160865,0.23485421780561128,0.0032203840074222665,0.29169818905930384
102000204,청암동강변삼성아파트(00012),용산구,98347,9.0,4.5,0.5926,37.534015,126.949323,18.7239,31.8206,0.0327,0.0182,0.0027,0.3976,59.3,51.8,52.2,30.4,6.8,9.9,59.3,보통,초미세먼지,0.2807748749107966,0.23514379384767636,0.0032976042853062938,0.29192984989295595
102000205,원효2동산호아파트(00032),용산구,220682,9.0,4.5,0.5926,37.53301777,126.9505416,18.7201,31.8458,0.0326,0.0182,0.0027,0.3975,59.3,51.8,52.2,30.4,6.8,9.9,59.3,보통,초미세먼지,0.29102969763652653,0.25052602793627127,0.0073995333755982745,0.30423563716383184
102000206,원효2동산호아파트(00060),용산구,136741,9.0,4.5,0.5926,37.5331089,126.9508278,18.7188,31.8443,0.0326,0.0182,0.0027,0.3976,59.3,51.8,52.2,30.4,6.8,9.9,59.3,보통,초미세먼지,0.2839932806305961,0.23997140242737566,0.0045849665732261066,0.29579193675671533
102000207,원효로풍전아파트(00033),용산구,160749,9.0,4.5,0.5926,37.53212865,126.9535225,18.7093,31.8786,0.0326,0.0182,0.0027,0.3978,59.3,51.9,52.1,30.4,6.8,9.9,59.3,보통,초미세먼지,0.28600576915799486,0.24299013521847376,0.005389961984185602,0.29820692298959384
102000208,원효로풍전아파트(00059),용산구,107143,9.0,4.5,0.5926,37.53236877,126.9545136,18.7061,31.8779,0.0326,0.0182,0.0027,0.3981,59.3,51.9,52.1,30.4,6.8,10.0,59.3,보통,초미세먼지,0.2815122061789988,0.23624979074997973,0.003592536792587189,0.2928146474147986
102000209,원효풍전아파트(00020),용산구,34008,14.0,7.0,0.5926,37.532743,126.955917,18.7024,31.8764,0.0325,0.0182,0.0027,0.3984,59.3,51.9,52.1,30.4,6.8,10.0,59.3,보통,초미세먼지,0.31704827685885667,0.2520538967697664,0.0017737975077879006,0.310457932230628
102000210,원효2동주민센터(00014),용산구,142743,11.0,5.5,0.5926,37.534494,126.951395,18.715,31.8105,0.0327,0.0182,0.0027,0.3981,59.3,51.8,52.2,30.4,6.8,10.0,59.3,보통,초미세먼지,0.3011630694291125,0.2507260856251502,0.005849818853958421,0.306395683314935
102000211,산천동리버힐삼성아파트(00001),용산구,95514,11.0,5.5,0.5926,37.53450034,126.9511923,18.7157,31.8101,0.0327,0.0182,0.0027,0.3981,59.3,51.8,52.2,30.4,6.8,10.0,59.3,보통,초미세먼지,0.2972040632369884,0.24478757633696407,0.003914304715586646,0.3016448758843861
102000212,산천동(00015),용산구,72901,12.0,6.0,0.5926,37.53532039,126.9536425,18.7076,31.7911,0.0326,0.0182,0.0027,0.3988,59.3,51.8,52.2,30.4,6.8,10.0,59.3,보통,초미세먼지,0.30364184495960583,0.24694424892089017,0.0032591897397733077,0.30437021395152697
102000213,산천동(00029),용산구,15147,12.0,6.0,0.5926,37.53540813,126.9533822,18.7081,31.788,0.0326,0.0182,0.0027,0.3988,59.3,51.8,52.2,30.4,6.8,10.0,59.3,보통,초미세먼지,0.29880057278319017,0.23968234065626673,0.0006771779123516315,0.2985606873398282
102000214,신창동세방아파트(00016),용산구,60252,12.0,6.0,0.5926,37.535708,126.954955,18.7046,31.7821,0.0326,0.0182,0.0027,0.3992,59.3,51.8,52.2,30.4,6.8,10.0,59.3,보통,초미세먼지,0.3025815330892681,0.2453537811153837,0.00269369007559322,0.3030978397071218
102000215,신창동세방아파트(00028),용산구,8353,12.0,6.0,0.5926,37.53583005,126.9549471,18.7046,31.7781,0.0326,0.0182,0.0027,0.3992,59.3,51.8,52.2,30.4,6.8,10.0,59.3,보통,초미세먼지,0.29823106065993343,0.23882807247138166,0.00037343811328138755,0.29787727279192017
102000216,남이장군사당(00017),용산구,14365,12.0,6.0,0.5926,37.53660802,126.9578221,18.7011,31.7602,0.0326,0.0183,0.0027,0.4,59.3,51.8,52.1,30.4,6.8,10.0,59.3,보통,초미세먼지,0.29873502104925037,0.23958401305535706,0.0006422169875837583,0.2984820252591005
102000217,남이장군사당(00027),용산구,6294,12.0,6.0,0.5926,37.53682386,126.9577035,18.7014,31.7517,0.0326,0.0183,0.0027,0.4,59.3,51.8,52.1,30.4,6.8,10.0,59.3,보통,초미세먼지,0.29805846344742454,0.2385691766526183,0.00028138626660996686,0.2976701561369095
