표준버스정류장ID,역명,자치구,승차총승객수
123900053,롯데월드.샤롯데(00011),송파구,4390
120900112,인수당약국(00018),관악구,4388
101000336,형제식당(00002),중구,4388
107900306,원진프라자앞(00009),성북구,4381
109900037,우이성당(00028),도봉구,4378
108000368,삼각산119안전센터(00025),강북구,4378
107000266,일신건영아파트.꿈에그린아파트(00004),성북구,4378
117900196,삼성체육공원.삼성산자연공원(00006),금천구,4373
115000264,가양4.5단지상가앞(00019),강서구,4373
103000133,사근동벽산아파트(00033),성동구,4370
112900065,사러가쇼핑(00009),서대문구,4359
109900023,부부슈퍼(00031),도봉구,4358
112900022,홍은2동주민센터(00019),서대문구,4354
113900092,대흥세양아파트(00012),마포구,4345
109900035,한신아파트정문(00025),도봉구,4338
115900094,삼거리(00042),강서구,4336
121900048,장자터빌딩(00007),서초구,4330
116000204,궁동입구(00059),구로구,4326
117900174,백운한비치.금광포란재아파트(00029),금천구,4320
110900035,7호선수락산역(00027),노원구,4305
117900208,롯데캐슬1차정문.해가든아파트(00014),금천구,4273
116900043,센츄리아파트(00010),구로구,4262
103900119,행당서울숲푸르지오상가앞(00047),성동구,4255
113900312,아현초등학교(00017),마포구,4254
111000346,입곡삼거리(00063),은평구,4250
124900140,온조대왕문화체육관(00069),강동구,4239
121900321,여의3교(00006),서초구,4237
117900177,영일빌라(00019),금천구,4236
103900285,한양대학교병원본관1층(00016),성동구,4230
122900086,강남스포츠문화센터(00026),강남구,4227
120900113,산성교회(00018),관악구,4208
112900207,삼거리연탄가게(00002),서대문구,4208
110900054,상계주공13단지(00020),노원구,4207
115900272,공진초등학교(00003),강서구,4200
111001113,진관공영차고지(00067),은평구,4200
111000144,북한산성입구(00066),은평구,4188
103900297,경수중학교입구(00018),성동구,4188
115900260,마곡엠밸리7단지(00023),강서구,4181
120900173,아카시아마을.민방위교육장(00029),관악구,4181
124000505,고덕산생태육교(00015),강동구,4177
113900314,상암월드컵파크6.7단지(00024),마포구,4175
100900149,강북삼성병원(00027),종로구,4175
102000036,남영역(00042),용산구,4166
116900290,대림그린빌라(00007),구로구,4165
110900078,한신1차아파트정문(00012),노원구,4162
118900126,우성2차아파트(00036),영등포구,4159
116900239,개봉역(00027),구로구,4149
119900038,삼거리우편물취급소(00005),동작구,4143
122000309,세곡동(00092),강남구,4140
123900055,레이크팰리스아파트(00013),송파구,4126
107900151,슈퍼앞(00014),성북구,4122
110000286,노원평생학습관(00002),노원구,4118
100900187,성결교신대원총회본부(00011),종로구,4113
111900132,힐스테이트2단지후문앞(00020),은평구,4106
119900271,신대방1동주민센터(00024),동작구,4101
113900215,월드컵파크7단지(00001),마포구,4096
103900082,금호공원(00009),성동구,4095
109900103,삼환아파트후문(00036),도봉구,4094
110000051,태릉선수촌(00020),노원구,4093
118900208,신안인스빌아파트(00022),영등포구,4084
117900145,대륭테크노2차.12차(00029),금천구,4084
